slug,status,amazonUrl,flipkartUrl
redmi-a7-pro,dry-run,https://www.amazon.in/Storage-Segments-Fastest-Processor-Smoothest/dp/B0GS5Y6BD3/ref=sr_1_1?dib=eyJ2IjoiMSJ9.mzh1klG3Y1nfFYNiFK750wiNmmA4TYP1m_VtGZ2pMWhiFDQJKuirrpre2WCo1cdu3i9s3StA88lvWQZnn8S1uIWcKTdNFUd7zBURfxjSi1IoNdU50KE8AFE9NsJHDiY2P8CNUxrT2zHBJ25B7Bgj-Edi41p_C9fpy9c45uaOWBr1yGK0vZgnQq9SjV_VJYH7ZoJbYy9ETFLqHdDTyB0P3-QmT94dBJ7on6iEk4dv9DY.z0eeYIsMzz87BCX3PJek5n3Yp8Cr_1HJPLAtc8jcmVs&dib_tag=se&keywords=Redmi+A7+Pro+smartphone&qid=1783251444&sr=8-1,https://www.flipkart.com/redmi-a7-pro-black-64-gb/p/itmdb9ee8da7cf6f
redmi-a5,dry-run,https://www.amazon.in/Lava-Nilgiri-Storage-Fingerprint-Phone-Cover/dp/B0GPY2KG7B/ref=sr_1_1?dib=eyJ2IjoiMSJ9.RLYcvWXtBkxyRxQRaOoPlabBY7fnVYkJTugKddZY9NaMb9Gcb1wAhZslN7G7UkdDXJVxYIW60_BAls3EUfFXuy0pDFMKIU9llRny4lxbiV412jKntOIid-iAPqHnXbBVmEk1Y-OCOWje9xENKpqmM4qhgWZJJCYsLKncVqWWU52ko0d1362tLUq90TbLy-EQlLq0GcsqHlv579Qq-0H7cmS0gkGfMd5YvYm9e5XuSW0.TTfDqzHTpDnBsg9swgaroRU7L3TZt_mMTa5IXqaEack&dib_tag=se&keywords=Redmi+A5+smartphone&qid=1783251449&sr=8-1,https://www.flipkart.com/redmi-a5-just-black-64-gb/p/itm2b4357effaa74
redmi-a4,dry-run,https://www.amazon.in/Redmi-A4-5G-Sparkle-Charging/dp/B0DLW427YG,https://www.flipkart.com/redmi-a4-5g-only-jio-sim-sparkle-purple-128-gb/p/itmf6a8b6a3d4395
redmi-15c,dry-run,https://www.amazon.in/15C-Segments-MediaTek-Dimensity-Charging/dp/B0G2B2QVLL/ref=sr_1_1?dib=eyJ2IjoiMSJ9.yjQWzKxJGv15nCtN5PZ_tf2Sj-0RTJYIn2VIsKVv9T-itnbuxrgN9uBKD6Qy3eBoto2A62WE56ZYF4l2o5oSD2giStZK4-Lv15EZ9oO0aqYhd0dNiguJrWx05iQQALTzDHUGcmeZz4_ovf8pTDYe4RUWPStBh8PfiTB2ktiha2LZ1e-8PhSgVVI2IjK5kJ_dfoM7rkHCwJHaQJ1ESImNRrFTewV64MOzURL906_JEGQ.0xy7SJso24Dm-zQPuQmKzKcIPNojIo9J9LeLUQYllxg&dib_tag=se&keywords=Redmi+15C+smartphone&qid=1783251459&sr=8-1,https://www.flipkart.com/redmi-15c-5g-midnight-black-128-gb/p/itma65eb003483e4
redmi-15a,dry-run,https://www.amazon.in/REDMI-15A-Amaze-Purple-128GB/dp/B0GVJV4M6R/ref=sr_1_1?dib=eyJ2IjoiMSJ9.sybInD9pDOVzAMuVyuh4O9iXHY339rN_apIWkz9y0vtZnz4RXu0Z2vNNwxnizB1s-80mZunTpWm_feITM03H5CwYKVz2aSor3HlPT4Nal9LfehSe5xGe7xZP7ZN9LnGTv1NmYnzjtcW54oAxHvOoZneDHXl6tIEsBFrGrhkcvMgb9z2XsNz0xIo3XIjne81zMhXzgkA38iseumyYLDyRxnS4Q8pN3Lq8myVazhREGcI.m4MF0CdQVE5mrpuag0v0BFg4gJM2oRUb28mlJDs6O70&dib_tag=se&keywords=Redmi+15A+smartphone&qid=1783251464&sr=8-1,https://www.flipkart.com/redmi-15a-awesome-blue-64-gb/p/itm28108343d0b60
poco-m7-plus,dry-run,,https://www.flipkart.com/poco-m7-plus-5g-carbon-black-128-gb/p/itmb4301b9afe80c?pid=MOBHETX6NVUH8VPG&lid=LSTMOBHETX6NVUH8VPGINMDBZ&marketplace=FLIPKART&q=POCO+M7+Plus&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=5785e593-857f-4b7c-a8a3-621dc4c8314e.MOBHETX6NVUH8VPG.SEARCH&ppt=sp&ppn=sp&ssid=v0utmvtqr40000001783251470515&qH=7bd245139fdbde5d
poco-m7,dry-run,,https://www.flipkart.com/poco-m7-pro-5g-lunar-dust-128-gb/p/itm59a079d57519a
poco-c85x,dry-run,,https://www.flipkart.com/poco-c85x-green-64-gb/p/itm96bce2b7909b7
poco-c85,dry-run,,https://www.flipkart.com/poco-c85-5g-charger-box-power-black-128-gb/p/itm00a5a3f301b9c
poco-c71,dry-run,,https://www.flipkart.com/poco-c71-desert-gold-64-gb/p/itme3dc58af6a04b
